name,code,confederation,ranking,host
France,FRA,UEFA,1,False
Argentina,ARG,CONMEBOL,2,False
Spain,ESP,UEFA,3,False
England,ENG,UEFA,4,False
Brazil,BRA,CONMEBOL,5,False
Morocco,MAR,CAF,6,False
Portugal,POR,UEFA,7,False
Belgium,BEL,UEFA,8,False
Netherlands,NED,UEFA,9,False
Mexico,MEX,CONCACAF,10,True
Colombia,COL,CONMEBOL,11,False
Germany,GER,UEFA,12,False
Croatia,CRO,UEFA,13,False
Switzerland,SUI,UEFA,14,False
USA,USA,CONCACAF,16,True
Japan,JPN,AFC,17,False
Senegal,SEN,CAF,18,False
Norway,NOR,UEFA,19,False
Uruguay,URU,CONMEBOL,20,False
Iran,IRN,AFC,22,False
Austria,AUT,UEFA,23,False
Egypt,EGY,CAF,24,False
Ecuador,EQU,CONMEBOL,25,False
Turkiye,TUR,UEFA,27,False
Australia,AUS,AFC,28,False
Algeria,ALG,CAF,29,False
Canada,CAN,CONCACAF,30,True
Ivory Coast,CIV,CAF,31,False
South Korea,KOR,AFC,32,False
Paraguay,PAY,CONMEBOL,34,False
Sweden,SWE,UEFA,37,False
Congo DR,COD,CAF,41,False
Scotland,SCT,UEFA,42,False
Panama,PAN,CONCACAF,44,False
Czechia,CZE,UEFA,48,False
South Africa,RSA,CAF,54,False
Tunisia,TUN,CAF,57,False
Saudi Arabia,KSA,AFC,58,False
Qatar,QAT,AFC,59,False
Uzbekistan,UZB,AFC,60,False
Bosnia and Herzegovina,BIH,UEFA,61,False
Iraq,IRQ,AFC,63,False
Cabo Verde,CAP,CAF,64,False
Ghana,GHA,CAF,65,False
Jordan,JOR,AFC,73,False
Curacao,CUR,CONCACAF,82,False
New Zealand,NZL,OFC,86,False
Haiti,HAI,CONCACAF,88,False
